id,wordpress_post_type,wordpress_type_label,status,title,slug,public_url,source_or_external_url,published_date,modified_date,author_or_creator,series_name_or_handle,series_number,shelf_or_category,tropes_or_tags,linked_book,newsletter_issue_date,quote_text,content_preview,rank_math_title,rank_math_description,rank_math_focus_keyword,rank_math_seo_score,all_wordpress_terms,hidden_from_library,private_or_member_only,seo_notes
125,post,Blog post,publish,best enemies to lovers romance books (booktok favorites + underrated reads),best-enemies-to-lovers-romance-books-booktok-favorites-underrated-reads,https://bybookishbabe.com/best-enemies-to-lovers-romance-books-booktok-favorites-underrated-reads/,,2026-05-19 22:57:08,2026-05-19 22:57:08,,,,curated romance guides,,,,,,best enemies to lovers romance books (2026),"the best enemies to lovers romance books — booktok favorites and underrated reads with slow burn tension, sharp banter, and impossible chemistry.",enemies to lovers romance books,,category: curated romance guides,,,
119,post,Blog post,publish,best second chance romance books that will make you cry,best-second-chance-romance-books-that-will-make-you-cry,https://bybookishbabe.com/best-second-chance-romance-books-that-will-make-you-cry/,,2026-05-19 22:57:06,2026-05-19 22:57:06,,,,curated romance guides,,,,,,best second chance romance books (you will cry),"the best second chance romance books that will make you cry — emotional reunions, earned forgiveness, and love stories that get a second shot at forever.",second chance romance books,,category: curated romance guides,,,
101,post,Blog post,draft,books like fourth wing (for when xaden riorson ruined you for everyone else),if-you-liked-fourth-wing-read-these-next,https://bybookishbabe.com/if-you-liked-fourth-wing-read-these-next/,,2026-04-15 15:00:59,2026-04-15 15:00:59,,,,curated romance guides,,,,,"fourth wing is one of the most searched books in romance right now — and ""books like fourth wing"" is searched over 22,000 times a month. here's the list that actually delivers the same feeling. still thinking about xaden riorson? yeah, me too. the fan edits alone could carry me through the week. dark shadow daddy was …",books like fourth wing (if xaden ruined you),"books like fourth wing for when xaden riorson permanently ruined your standards — dark romantasy, morally gray love interests, and high-stakes magic.",books like fourth wing,,category: curated romance guides,,,
120,post,Blog post,publish,books like fourth wing but darker,books-like-fourth-wing-but-darker,https://bybookishbabe.com/books-like-fourth-wing-but-darker/,,2026-05-19 22:57:06,2026-05-19 22:57:06,,,,curated romance guides,,,,,if you're here expecti,books like fourth wing but darker,"books like fourth wing but darker — romantasy reads that go further into the morally gray, the violent, and the obsessive. for when fourth wing wasn't enough.",books like fourth wing but darker,,category: curated romance guides,,,
103,post,Blog post,publish,books like haunting adeline (because one read was never going to be enough),if-you-liked-haunting-adeline-read-these-next,https://bybookishbabe.com/if-you-liked-haunting-adeline-read-these-next/,,2026-05-19 22:56:47,2026-05-19 22:56:47,,,,curated romance guides,,,,,,books like haunting adeline (one read wasn't enough),"books like haunting adeline for when one read was never going to be enough — dark romance with obsessive stalker heroes, morally gray men, and no redemption arcs.",books like haunting adeline,,category: curated romance guides,,,
91,post,Blog post,publish,books like insatiable (for when that feeling won't leave you alone),if-you-liked-insatiable-read-these-next,https://bybookishbabe.com/if-you-liked-insatiable-read-these-next/,,2026-05-16 20:28:04,2026-05-16 20:28:04,,,,curated romance guides,,,,,,books like insatiable (that feeling won't leave),"books like insatiable for when that feeling won't leave you alone — dark romance with obsessive, morally gray heroes and stories that get completely under your skin.",books like insatiable,,category: curated romance guides,,,
90,post,Blog post,publish,books like quicksilver (for when he hates you but would still burn the world down for you),books-like-quicksilver,https://bybookishbabe.com/books-like-quicksilver/,,2026-05-16 20:28:04,2026-05-16 20:28:04,,,,curated romance guides,,,,,,books like quicksilver (he hates you but stays),books like quicksilver — enemies to lovers romantasy with morally gray heroes who hate you but would burn the world for you anyway. ranked by tension.,books like quicksilver,,category: curated romance guides,,,
102,post,Blog post,publish,books like say you swear (for when that feeling won't go away),if-you-liked-say-you-swear-read-these-next,https://bybookishbabe.com/if-you-liked-say-you-swear-read-these-next/,,2026-05-19 22:56:46,2026-05-19 22:56:46,,,,curated romance guides,,,,,,books like say you swear (that feeling won't go),"books like say you swear for when the feeling won't go away — emotional sports romance reads with best-friend betrayal, slow burn tension, and messy love stories.",books like say you swear,,category: curated romance guides,,,
99,post,Blog post,publish,books like shatter me (for when aaron warner permanently altered your brain chemistry),if-you-liked-shatter-me-read-these-next,https://bybookishbabe.com/if-you-liked-shatter-me-read-these-next/,,2026-05-16 20:28:05,2026-05-16 20:28:05,,,,curated romance guides,,,,,,books like shatter me (aaron warner did damage),"books like shatter me for when aaron warner permanently altered your brain chemistry — dark ya romance, morally gray heroes, and dystopian love stories with bite.",books like shatter me,,category: curated romance guides,,,
100,post,Blog post,publish,books like the ever king (for when him and that ship ruined you for everyone else),if-you-liked-the-ever-king-read-these-next,https://bybookishbabe.com/if-you-liked-the-ever-king-read-these-next/,,2026-05-16 20:28:05,2026-05-16 20:28:05,,,,curated romance guides,,,,,,books like the ever king (ship and all),"books like the ever king for when him and that ship ruined you for everyone else — dark pirates, morally gray fantasy heroes, and romantasy reads with the same pull.",books like the ever king,,category: curated romance guides,,,
84,post,Blog post,publish,cat and mouse duet reading order — h.d. carlton (haunting adeline),cat-and-mouse-duet-reading-order-hd-carlton,https://bybookishbabe.com/cat-and-mouse-duet-reading-order-hd-carlton/,,2026-05-16 20:28:02,2026-05-16 20:28:02,,,,curated romance guides,,,,,the duet that introduced me to dark romance.a stalker,cat and mouse duet reading order — h.d. carlton,"the complete cat and mouse duet reading order by h.d. carlton — haunting adeline, hunting adeline, and everything in between. start here.",cat and mouse duet reading order,,category: curated romance guides,,,
